Site,Latitude,(deg),Longitude,(deg),EllipElev,(m),X,(m),Y,(m),Z,(m),Epoch,(yr),Net,Status,Last,yr.doy,Ant,Hght(m),Type,Dome
BRAN,34.18489633,-118.27705605,246.1762,-2502255.17534,-4651653.68503,3563569.45281,2022.7616,SCGN,ACTIVE,2023.345,0.2420,TWIVC6150,NONE
BREW,48.13152239,-119.68263679,238.5948,-2112007.40757,-3705351.82208,4726827.01398,2022.7616,IGS,ACTIVE,2023.345,0.0083,ASH701945C_M,SCIT
BRI2,37.91946984,-122.15252739,265.1299,-2681170.23804,-4265459.73081,3898559.40367,2022.7616,BARD,ACTIVE,2023.345,0.0083,SEPCHOKE_B3E6,SPKE
BRIB,37.91940570,-122.15255793,263.1794,-2681174.02147,-4265460.70308,3898552.58860,2022.7616,BARD,RETIRED,2019.340,0.0083,ASH701945B_M,SCIT
BRN3,49.26989167,-123.01558078,32.6794,-2271963.39597,-3496434.89067,4810221.88558,2022.7616,UNKN,ACTIVE,2020.196,0.0000,TRM55971.00,NONE
BRPK,34.68228451,-118.57681194,1729.0966,-2512216.17004,-4612170.67191,3609922.56727,2022.7616,SCGN,ACTIVE,0.000,0.0083,TPSCR.G3,SCIT
BSRY,34.91861230,-117.01199636,613.4621,-2378118.01784,-4664904.56451,3630818.15055,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,SCIT
BUEG,34.61285040,-120.19641126,74.7303,-2643087.33199,-4541933.06722,3602644.44964,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TPSCR.G3,SCIT
BURN,42.77950009,-117.84353258,1180.8861,-2190267.28280,-4146571.93790,4310356.84197,2022.7616,NOTA,ACTIVE,2023.345,0.0753,TRM159800.00,SCIS
BVPP,35.15727683,-119.34751189,123.0489,-2558595.30054,-4550517.27640,3652217.07286,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,SCIT
CABL,42.83609891,-124.56334713,37.8498,-2657528.56493,-3857584.22278,4314193.29229,2022.7616,NOTA,ACTIVE,2023.345,0.0813,TRM59800.99,SCIT
CACT,33.65513499,-115.98995271,518.4045,-2329098.17034,-4777485.03985,3514957.18544,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TRM57971.00,SCIT
CAND,35.93935358,-120.43370137,568.3840,-2619025.40981,-4458010.79010,3723079.12104,2022.7616,NCGN,ACTIVE,2023.345,0.1305,ASH700936D_M,SCIS
CARH,35.88838547,-120.43082625,480.2489,-2620445.84744,-4460941.13520,3718446.82987,2022.7616,NCGN,ACTIVE,2023.345,0.0083,ASH701945B_M,SCIT
CASE,33.45535173,-117.40398731,776.4789,-2452020.04403,-4729620.58195,3496631.82302,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.00,SCIT
CAT2,33.31161924,-118.33382238,477.1906,-2532494.21517,-4696708.06930,3483154.52886,2022.7616,NOTA,ACTIVE,2023.242,0.0083,TRM59800.99,SCIT
CAT3,33.44576414,-118.48301199,5.1232,-2540623.33438,-4682556.42222,3495319.33746,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.80,SCIT
CATH,46.19730205,-123.36727217,56.3227,-2432423.18084,-3693552.46930,4580495.38597,2022.7616,WSRN,ACTIVE,2023.345,0.0000,TRM115000.00,NONE
CBHS,34.13856359,-118.62981150,284.5838,-2532244.70641,-4638720.99308,3559338.15466,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,SCIT
CCCC,35.56531414,-117.67117648,813.8982,-2412476.02122,-4600711.71638,3689538.55876,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM29659.00,SCIT
CCCS,33.86274477,-117.86494857,31.8428,-2477995.47528,-4687050.49294,3533832.43325,2022.7616,CRTN,ACTIVE,2022.333,0.0083,TPSCR.G3,SCIT
CCPW,46.32120297,-117.97859747,497.3518,-2070280.85020,-3897143.20811,4590336.60327,2022.7616,UNKN,ACTIVE,2020.055,0.0000,TPSCR.G3,TPSH
CDMT,34.82946683,-116.33593379,936.5048,-2325536.59042,-4697945.69582,3622888.29575,2022.7616,NOTA,ACTIVE,2023.345,0.0083,ASH701945B_M,SCIT
CGDM,34.24399405,-117.96495108,704.7140,-2475328.56748,-4662294.01128,3569248.67859,2022.7616,NOTA,ACTIVE,2023.344,0.0083,ASH701945B_M,SCIT
CHCM,48.01061667,-122.77586894,20.3864,-2314209.98561,-3594274.58390,4717681.29103,2022.7616,WSRN,ACTIVE,2023.345,0.0083,TRM115000.00+S,SCIT
CHEL,47.83155427,-119.98990661,345.5254,-2144270.43501,-3715496.76355,4704579.66286,2022.7616,WSRN,ACTIVE,2023.345,0.0000,TRM115000.00,NONE
CHEM,43.22435997,-121.78583528,1439.9756,-2452510.95213,-3957679.57935,4346683.78384,2022.7616,ORGN,ACTIVE,2023.345,0.0000,SEPCHOKE_B3E6,SPKE
CHIL,34.33342432,-118.02600479,1567.4436,-2478003.71324,-4655348.65160,3577932.40612,2022.7616,SCGN,ACTIVE,2023.328,0.6440,TPSCR.G3,NONE
CHLW,49.14351604,-121.99521898,1.7072,-2214966.65792,-3545345.89260,4801016.02455,2022.7616,WSRN,ACTIVE,2023.345,0.0000,TRM57971.00,NONE
CHMS,34.64046259,-117.82770510,760.3867,-2452561.91790,-4646250.47760,3605554.78231,2022.7616,NOTA,ACTIVE,2023.345,0.0083,ASH701945B_M,SCIT
